1,1,1701,510,133,130,0.95,0,0,0
1,2,847,729,168,133,0.94,4,0,0
1,3,1532,623,59,81,0.93,7,0,0
1,4,638,1129,199,180,0.93,3,0,0
1,5,1062,976,237,161,0.93,3,0,0
1,7,636,669,145,103,0.92,3,0,0
1,8,1850,1239,163,144,0.92,7,0,0
1,10,2102,317,85,61,0.91,3,0,0
1,12,800,524,99,79,0.91,7,0,0
1,14,437,1034,117,131,0.91,3,0,0
1,15,557,478,91,67,0.91,7,0,0
1,16,1613,532,76,94,0.91,7,0,0
1,17,319,540,136,85,0.91,3,0,0
1,18,1969,398,88,69,0.90,3,0,0
1,19,2036,359,95,68,0.90,3,0,0
1,20,538,509,87,70,0.90,7,0,0
1,21,1887,442,96,77,0.90,3,0,0
1,22,2170,275,82,66,0.90,3,0,0
1,23,447,591,148,102,0.90,3,0,0
1,24,1817,494,92,82,0.89,3,0,0
1,26,2223,235,79,65,0.88,3,0,0
1,27,1589,440,105,70,0.88,3,0,0
1,28,34,1042,167,133,0.88,6,0,0
1,29,1020,900,100,77,0.87,6,0,0
1,30,2557,28,75,71,0.87,5,0,0
1,31,2070,286,58,56,0.86,6,0,0
1,32,1581,1220,103,83,0.86,2,0,0
1,33,183,941,89,56,0.85,9,0,0
1,34,1953,372,54,52,0.85,6,0,0
1,35,663,989,91,79,0.85,9,0,0
1,36,729,999,76,74,0.84,2,0,0
1,37,912,608,68,52,0.84,6,0,0
1,38,1503,588,49,54,0.84,9,0,0
1,39,1094,628,63,51,0.83,9,0,0
1,40,1436,834,63,71,0.83,9,0,0
1,41,1319,1203,71,102,0.83,6,0,0
1,42,179,915,83,55,0.83,3,0,0
1,43,789,577,57,47,0.83,9,0,0
1,44,1577,1092,61,106,0.82,9,0,0
1,45,896,636,60,49,0.82,9,0,0
1,46,1699,945,71,57,0.81,9,0,0
1,48,1171,1166,38,72,0.81,0,0,0
1,49,674,1424,48,83,0.81,0,0,0
1,50,1654,664,59,54,0.81,9,0,0
1,51,300,1316,85,83,0.81,9,0,0
1,52,1374,701,56,63,0.80,9,0,0
1,53,2185,632,41,61,0.80,9,0,0
1,54,1453,766,51,69,0.80,9,0,0
1,55,665,504,41,51,0.80,0,0,0
1,56,2302,1084,116,109,0.80,2,0,0
1,57,1969,843,47,69,0.79,9,0,0
1,58,1890,740,54,57,0.79,9,0,0
1,59,1701,496,41,48,0.79,9,0,0
1,60,1546,1016,69,72,0.79,9,0,0
1,61,1349,805,56,63,0.79,9,0,0
1,62,2124,747,43,66,0.79,9,0,0
1,63,1040,856,65,60,0.79,9,0,0
1,64,710,571,53,45,0.78,2,0,0
1,65,1785,466,45,49,0.78,9,0,0
1,66,2306,853,36,65,0.77,0,0,0
1,67,2501,762,38,65,0.77,0,0,0
1,68,360,1080,38,74,0.77,0,0,0
1,69,2228,906,48,74,0.77,9,0,0
1,70,1189,697,26,59,0.77,0,0,0
